stk_code:OP                  ,exchange_type:P ,money_type:  ,hs_price: 0.35               ,em_price: 0.3490             
stk_code:ONTX                ,exchange_type:P ,money_type:  ,hs_price: 0.9                ,em_price: 0.9001             
stk_code:ONCR                ,exchange_type:P ,money_type:  ,hs_price: 0.91               ,em_price: 0.9109             
stk_code:OIG                 ,exchange_type:P ,money_type:  ,hs_price: 0.51               ,em_price: 0.5053             
stk_code:OGI                 ,exchange_type:P ,money_type:  ,hs_price: 0.89               ,em_price: 0.8949             
stk_code:OGEN                ,exchange_type:P ,money_type:  ,hs_price: 0.23               ,em_price: 0.2323             
stk_code:OCFT                ,exchange_type:P ,money_type:  ,hs_price: 0.78               ,em_price: 0.7832             
stk_code:OCAXW               ,exchange_type:P ,money_type:  ,hs_price: 0.05               ,em_price: 0.0501             
stk_code:OBSV                ,exchange_type:P ,money_type:  ,hs_price: 0.14               ,em_price: 0.1402             
stk_code:NVNOW               ,exchange_type:P ,money_type:  ,hs_price: 0.23               ,em_price: 0.2250             
stk_code:NVFY                ,exchange_type:P ,money_type:  ,hs_price: 0.76               ,em_price: 0.7577             
stk_code:NUZE                ,exchange_type:P ,money_type:  ,hs_price: 0.4                ,em_price: 0.4010             
stk_code:NTP                 ,exchange_type:P ,money_type:  ,hs_price: 4.22               ,em_price: 4.2150             
stk_code:NTG                 ,exchange_type:P ,money_type:  ,hs_price: 31.49              ,em_price: 31.4850            
stk_code:NSPR                ,exchange_type:P ,money_type:  ,hs_price: 1.5                ,em_price: 1.5023             
stk_code:NRXP                ,exchange_type:P ,money_type:  ,hs_price: 0.7                ,em_price: 0.7044             
stk_code:NRTSF               ,exchange_type:P ,money_type:  ,hs_price: 0.0003             ,em_price: 0.0000             
stk_code:NMTR                ,exchange_type:P ,money_type:  ,hs_price: 0.21               ,em_price: 0.2143             
stk_code:NISN                ,exchange_type:P ,money_type:  ,hs_price: 0.52               ,em_price: 0.5153             
stk_code:NILE                ,exchange_type:P ,money_type:  ,hs_price: 0.2                ,em_price: 0.1975             
stk_code:NDRA                ,exchange_type:P ,money_type:  ,hs_price: 0.31               ,em_price: 0.3070             
stk_code:NCNA                ,exchange_type:P ,money_type:  ,hs_price: 0.97               ,em_price: 0.9748             
stk_code:NBY                 ,exchange_type:P ,money_type:  ,hs_price: 0.12               ,em_price: 0.1181             
stk_code:NAVB                ,exchange_type:P ,money_type:  ,hs_price: 0.25               ,em_price: 0.2486             
stk_code:NAOV                ,exchange_type:P ,money_type:  ,hs_price: 0.52               ,em_price: 0.5160             
stk_code:MYSZ                ,exchange_type:P ,money_type:  ,hs_price: 0.21               ,em_price: 0.2057             
stk_code:MVSTW               ,exchange_type:P ,money_type:  ,hs_price: 0.27               ,em_price: 0.2699             
stk_code:MULN                ,exchange_type:P ,money_type:  ,hs_price: 0.33               ,em_price: 0.3322             
stk_code:MTEM                ,exchange_type:P ,money_type:  ,hs_price: 0.65               ,em_price: 0.6530             
stk_code:MTCR                ,exchange_type:P ,money_type:  ,hs_price: 0.5                ,em_price: 0.4975             
stk_code:MSGM                ,exchange_type:P ,money_type:  ,hs_price: 0.6                ,em_price: 0.6025             
stk_code:MREO                ,exchange_type:P ,money_type:  ,hs_price: 0.86               ,em_price: 0.8564             
stk_code:MOTS                ,exchange_type:P ,money_type:  ,hs_price: 2.36               ,em_price: 2.3550             
stk_code:MOHOY               ,exchange_type:P ,money_type:1 ,hs_price:0.047               ,em_price:                    
stk_code:MOHO                ,exchange_type:P ,money_type:  ,hs_price: 0.1                ,em_price: 0.0999             
stk_code:MOGU                ,exchange_type:P ,money_type:  ,hs_price: 2.49               ,em_price: 2.4899             
stk_code:MMAT                ,exchange_type:P ,money_type:  ,hs_price: 0.67               ,em_price: 0.6668             
stk_code:MJXL                ,exchange_type:P ,money_type:  ,hs_price: 0.46               ,em_price: 0.4617             
stk_code:MILEW               ,exchange_type:P ,money_type:  ,hs_price: 0.07               ,em_price: 0.0586             
stk_code:MICT                ,exchange_type:P ,money_type:  ,hs_price: 0.69               ,em_price: 0.6899             
stk_code:MFH                 ,exchange_type:P ,money_type:  ,hs_price: 0.84               ,em_price: 0.8402             
stk_code:MF                  ,exchange_type:P ,money_type:  ,hs_price: 0.09               ,em_price: 0.0860             
stk_code:METXW               ,exchange_type:P ,money_type:  ,hs_price: 0.06               ,em_price: 0.0617             
stk_code:METX                ,exchange_type:P ,money_type:  ,hs_price: 0.39               ,em_price: 0.3916             
stk_code:MDVL                ,exchange_type:P ,money_type:  ,hs_price: 0.73               ,em_price: 0.7316             
stk_code:MDNA                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8107             
stk_code:MDGS                ,exchange_type:P ,money_type:  ,hs_price: 0.51               ,em_price: 0.5102             
stk_code:MBVXQ               ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:MARK                ,exchange_type:P ,money_type:  ,hs_price: 0.3                ,em_price: 0.2991             
stk_code:M066193             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:LYL                 ,exchange_type:P ,money_type:  ,hs_price: 0.84               ,em_price: 0.8390             
stk_code:LTRY                ,exchange_type:P ,money_type:  ,hs_price: 0.24               ,em_price: 0.2350             
stk_code:LPTX                ,exchange_type:P ,money_type:  ,hs_price: 0.91               ,em_price: 0.9070             
stk_code:LPCN                ,exchange_type:P ,money_type:  ,hs_price: 0.39               ,em_price: 0.3921             
stk_code:LOGC                ,exchange_type:P ,money_type:  ,hs_price: 0.28               ,em_price: 0.2824             
stk_code:LODE                ,exchange_type:P ,money_type:  ,hs_price: 0.42               ,em_price: 0.4152             
stk_code:LMNL                ,exchange_type:P ,money_type:  ,hs_price: 0.49               ,em_price: 0.4850             
stk_code:LMACW               ,exchange_type:P ,money_type:  ,hs_price: 0.19               ,em_price: 0.1930             
stk_code:LMACU               ,exchange_type:P ,money_type:  ,hs_price: 9.88               ,em_price: 9.8799             
stk_code:LLL                 ,exchange_type:P ,money_type:  ,hs_price: 0.79               ,em_price: 0.7916             
stk_code:LKCO                ,exchange_type:P ,money_type:  ,hs_price: 0.18               ,em_price: 0.1785             
stk_code:LINUF               ,exchange_type:P ,money_type:  ,hs_price: 0.0001             ,em_price: 0.0000             
stk_code:LGMK                ,exchange_type:P ,money_type:  ,hs_price: 0.8                ,em_price: 0.8002             
stk_code:LFIN                ,exchange_type:P ,money_type:  ,hs_price: 0.0001             ,em_price: 0.0000             
stk_code:LCI                 ,exchange_type:P ,money_type:  ,hs_price: 0.45               ,em_price: 0.4502             
stk_code:LAXXW               ,exchange_type:P ,money_type:  ,hs_price: 0.39               ,em_price: 0.3879             
stk_code:LAXXR               ,exchange_type:P ,money_type:  ,hs_price: 0.48               ,em_price: 0.4806             
stk_code:KUKE                ,exchange_type:P ,money_type:  ,hs_price: 0.61               ,em_price: 0.6099             
stk_code:KRKR                ,exchange_type:P ,money_type:  ,hs_price: 0.96               ,em_price: 0.9553             
stk_code:KRBP                ,exchange_type:P ,money_type:  ,hs_price: 0.34               ,em_price: 0.3370             
stk_code:KLDO                ,exchange_type:P ,money_type:  ,hs_price: 0.0012             ,em_price: 0.2900             
stk_code:KERNW               ,exchange_type:P ,money_type:  ,hs_price: 0.06               ,em_price: 0.0551             
stk_code:KERN                ,exchange_type:P ,money_type:  ,hs_price: 0.1                ,em_price: 0.0999             
stk_code:KALA                ,exchange_type:P ,money_type:  ,hs_price: 0.23               ,em_price: 0.2340             
stk_code:JZXN                ,exchange_type:P ,money_type:  ,hs_price: 0.38               ,em_price: 0.3809             
stk_code:JUPW                ,exchange_type:P ,money_type:  ,hs_price: 0.63               ,em_price: 0.6290             
stk_code:JSPR                ,exchange_type:P ,money_type:  ,hs_price: 0.88               ,em_price: 0.8772             
stk_code:JRJRQ               ,exchange_type:P ,money_type:  ,hs_price: 0.0002             ,em_price: 0.0000             
stk_code:JO                  ,exchange_type:P ,money_type:  ,hs_price: 62.43              ,em_price: 62.4318            
stk_code:JJN                 ,exchange_type:P ,money_type:  ,hs_price: 28.77              ,em_price: 28.7697            
stk_code:JG                  ,exchange_type:P ,money_type:  ,hs_price: 0.99               ,em_price: 0.9948             
stk_code:JFU                 ,exchange_type:P ,money_type:  ,hs_price: 0.27               ,em_price: 0.2698             
stk_code:JAGX                ,exchange_type:P ,money_type:  ,hs_price: 0.16               ,em_price: 0.1636             
stk_code:IZEA                ,exchange_type:P ,money_type:  ,hs_price: 0.69               ,em_price: 0.6888             
stk_code:ITP                 ,exchange_type:P ,money_type:  ,hs_price: 0.75               ,em_price: 0.7519             
stk_code:ISR                 ,exchange_type:P ,money_type:  ,hs_price: 0.28               ,em_price: 0.2826             
stk_code:IRNT+               ,exchange_type:P ,money_type:  ,hs_price: 0.09               ,em_price: 0.0933             
stk_code:IRNT                ,exchange_type:P ,money_type:  ,hs_price: 0.79               ,em_price: 0.7901             
stk_code:IPOF WS             ,exchange_type:P ,money_type:  ,hs_price: 0.61               ,em_price: 0.0014             
stk_code:IONM                ,exchange_type:P ,money_type:  ,hs_price: 0.57               ,em_price: 0.5676             
stk_code:INUV                ,exchange_type:P ,money_type:  ,hs_price: 0.42               ,em_price: 0.4167             
stk_code:INPX                ,exchange_type:P ,money_type:  ,hs_price: 0.13               ,em_price: 0.1295             
stk_code:IMTE                ,exchange_type:P ,money_type:  ,hs_price: 0.69               ,em_price: 0.6891             
stk_code:IMPP                ,exchange_type:P ,money_type:  ,hs_price: 0.3                ,em_price: 0.3032             
stk_code:IMBI                ,exchange_type:P ,money_type:  ,hs_price: 0.71               ,em_price: 0.7122             
stk_code:IMAQW               ,exchange_type:P ,money_type:  ,hs_price: 0.03               ,em_price: 0.0333             
stk_code:IGC                 ,exchange_type:P ,money_type:  ,hs_price: 0.43               ,em_price: 0.4250             
stk_code:IFMK                ,exchange_type:P ,money_type:  ,hs_price: 0.01               ,em_price: 0.0061             
stk_code:IDEX                ,exchange_type:P ,money_type:  ,hs_price: 0.33               ,em_price: 0.3294             
stk_code:ICLK                ,exchange_type:P ,money_type:  ,hs_price: 0.33               ,em_price: 0.3253             
stk_code:IBIO                ,exchange_type:P ,money_type:  ,hs_price: 0.32               ,em_price: 0.3160             
stk_code:IAG                 ,exchange_type:P ,money_type:  ,hs_price: 0.98               ,em_price: 0.9760             
stk_code:HYMCW               ,exchange_type:P ,money_type:  ,hs_price: 0.1                ,em_price: 0.0999             
stk_code:HYMCL               ,exchange_type:P ,money_type:  ,hs_price: 0.14               ,em_price: 0.1373             
stk_code:HYMC                ,exchange_type:P ,money_type:  ,hs_price: 0.6                ,em_price: 0.6003             
stk_code:HUIZ                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8072             
stk_code:HUGE                ,exchange_type:P ,money_type:  ,hs_price: 0.87               ,em_price: 0.8747             
stk_code:HTGM                ,exchange_type:P ,money_type:  ,hs_price: 0.62               ,em_price: 0.6174             
stk_code:HOTH                ,exchange_type:P ,money_type:  ,hs_price: 0.37               ,em_price: 0.3666             
stk_code:HOFV                ,exchange_type:P ,money_type:  ,hs_price: 0.58               ,em_price: 0.5796             
stk_code:HLBZW               ,exchange_type:P ,money_type:  ,hs_price: 0.09               ,em_price: 0.0944             
stk_code:HLBZ                ,exchange_type:P ,money_type:  ,hs_price: 0.39               ,em_price: 0.3940             
stk_code:HK0000489705        ,exchange_type:m ,money_type:2 ,hs_price:10.3949             ,em_price:                    
stk_code:HK0000464419        ,exchange_type:m ,money_type:2 ,hs_price:1042.949            ,em_price:                    
stk_code:HK0000464252        ,exchange_type:m ,money_type:2 ,hs_price:1040.983            ,em_price:                    
stk_code:HK0000384492        ,exchange_type:m ,money_type:1 ,hs_price:8.129               ,em_price:                    
stk_code:HK0000365384        ,exchange_type:m ,money_type:1 ,hs_price:107.285             ,em_price:                    
stk_code:HK0000323219        ,exchange_type:m ,money_type:1 ,hs_price:0.803               ,em_price:                    
stk_code:HK0000312378        ,exchange_type:m ,money_type:1 ,hs_price:107.94              ,em_price:                    
stk_code:HK0000311842        ,exchange_type:m ,money_type:1 ,hs_price:10.71               ,em_price:                    
stk_code:HK0000252152        ,exchange_type:m ,money_type:2 ,hs_price:127.43              ,em_price:                    
stk_code:HK0000161320        ,exchange_type:m ,money_type:2 ,hs_price:9.198               ,em_price:                    
stk_code:HK0000130705        ,exchange_type:m ,money_type:2 ,hs_price:17.857              ,em_price:                    
stk_code:HILS                ,exchange_type:P ,money_type:  ,hs_price: 0.8                ,em_price: 0.8020             
stk_code:HGEN                ,exchange_type:P ,money_type:  ,hs_price: 0.16               ,em_price: 0.1622             
stk_code:HEPA                ,exchange_type:P ,money_type:  ,hs_price: 0.51               ,em_price: 0.5123             
stk_code:HCTI                ,exchange_type:P ,money_type:  ,hs_price: 0.44               ,em_price: 0.4370             
stk_code:HCDI                ,exchange_type:P ,money_type:  ,hs_price: 0.9                ,em_price: 0.9001             
stk_code:HAPP                ,exchange_type:P ,money_type:  ,hs_price: 0.16               ,em_price: 0.1601             
stk_code:GURE                ,exchange_type:P ,money_type:  ,hs_price: 3.36               ,em_price: 3.3588             
stk_code:GTTNQ               ,exchange_type:P ,money_type:  ,hs_price: 0.0075             ,em_price: 0.0231             
